rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
per-day 1% / time 20,perday,20,all,698,0.012785744809141296,0.7550143266475645,10.512893982808023,0.5343839541547278,12.161964945190276,-0.005316891592976513,0.623352435530086,12.875501432664757,-4.129463711205624,0.01810263640211781,0.011458411194403738,0.02425759008765939,16.2914286563959,1.6037748597621966
per-day 2% / time 20,perday,20,train,433,0.018752224794356117,0.6789838337182448,14.71593533487298,0.2956120092378753,12.742801845505648,-0.003945103734632962,0.5586605080831408,16.89030023094688,-2.3357214973625116,0.02269732852898908,0.011167042089585508,0.03336070451006688,15.07852334286816,1.615272435009296
per-day 2% / time 20,perday,20,test,265,0.01623968475913731,0.6528301886792452,15.335849056603774,0.2528301886792453,10.589361370992588,-0.010600134887949341,0.48339622641509433,17.587169811320756,-6.027197668340075,0.026839819647086652,0.016455422680515763,0.03744873757147947,16.616559039332664,1.7381122529205015
per-day 2% / time 20,perday,20,all,698,0.0177983234915868,0.669054441260745,14.951289398280803,0.2793696275071633,11.904206398167483,-0.006471727310032446,0.5300859598853869,17.15487106017192,-3.7725304301806792,0.024270050801619245,0.016201837982135526,0.0317951302660302,15.676736828348162,1.6529134489475719
per-day 0.5% / time 60,perday,60,train,433,0.026886985327709126,0.9006928406466512,15.76905311778291,0.7829099307159353,17.050475464115483,-0.009185370278509497,0.7609699769053118,22.478060046189377,-4.0863714482632405,0.036072355606218624,0.027806451987474754,0.04473892569907221,21.136846912378722,2.9305544916997235
per-day 0.5% / time 60,perday,60,test,265,0.01683848520126666,0.8603773584905661,17.154716981132076,0.7547169811320755,9.815658993259271,-0.01437299078500952,0.7124528301886792,24.93622641509434,-5.7638996958694975,0.03121147598627618,0.021300771857581613,0.042121985965806234,15.579558689128769,2.0612115160139606
per-day 0.5% / time 60,perday,60,all,698,0.023072010351337702,0.8853868194842407,16.29512893982808,0.7722063037249284,14.158838777240826,-0.01115488236192283,0.7425501432664756,23.411318051575932,-4.764739147684144,0.034226892713260536,0.02715534985802451,0.04108956403536111,18.92357792492497,2.573413231873049
hybrid 2% day 1 then 6% / time 7,hybrid,7,train,433,-0.0008650270332119797,0.7043879907621247,4.348729792147806,0.49884526558891457,-1.9891487274603679,-0.0018981691144044702,0.5939953810623556,5.399769053117783,-3.5152783308546924,0.0010331420811924904,-0.005986294951760038,0.00757394405648158,1.5261296033943246,0.9564105785026848
hybrid 2% day 1 then 6% / time 7,hybrid,7,test,265,0.006975924436996701,0.6981132075471698,4.675471698113207,0.4377358490566038,14.92025807751514,-0.00489592742128014,0.5286792452830189,5.622264150943396,-8.708106360421754,0.01187185185827684,0.006740508925110027,0.01673459526333192,23.628364437936895,1.5998807031396594
hybrid 2% day 1 then 6% / time 7,hybrid,7,all,698,0.0021118384963085077,0.7020057306590258,4.472779369627507,0.47564469914040114,4.721535139088208,-0.003036286523175319,0.5691977077363897,5.484240687679083,-5.536384517179657,0.005148125019483827,0.0006272662225877386,0.00943344392731399,10.257919656267866,1.1262637090930028
