rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
per-day 1% / time 20,perday,20,test,510,0.011078677234810238,0.7333333333333333,10.22549019607843,0.5470588235294118,10.834372751204642,-0.007460837610261291,0.6047058823529412,12.986274509803922,-5.745171646132052,0.01853951484507153,0.01142676386542442,0.02600166592269863,16.579544397336694,1.4912603769374821
per-day 1% / time 20,perday,20,all,1117,0.010963488363790552,0.7448522829006267,9.93822739480752,0.5613249776186213,11.031633638729888,-0.005613801674762306,0.6289167412712623,12.530259623992839,-4.480195816544012,0.01657729003855286,0.01070776566287971,0.022490931823013913,15.511829455273901,1.45894998770512
per-day 2% / time 20,perday,20,train,607,0.017084488561239772,0.6985172981878089,13.306425041186161,0.37067545304777594,12.839277648474113,-0.00522351271060413,0.5489291598023064,16.30329489291598,-3.2039613740126986,0.0223080012718439,0.012298432052226619,0.031047269035516138,16.043239022486812,1.587954205990417
per-day 2% / time 20,perday,20,test,509,0.01645377450800271,0.6679764243614931,13.860510805500983,0.33988212180746563,11.87097267834639,-0.010142383918369923,0.5043222003929273,17.051669941060904,-5.948029696462031,0.02659615842637263,0.01876984658283453,0.034640257981680384,17.81900237480842,1.6372233308313686
per-day 2% / time 20,perday,20,all,1116,0.016796824176743653,0.6845878136200717,13.559139784946236,0.35663082437275984,12.387824333363678,-0.00746697637077688,0.528584229390681,16.64462365591398,-4.486119076728898,0.02426380054752053,0.018307430655469744,0.030749229710708523,16.873943410092576,1.6089913237360343
per-day 0.5% / time 60,perday,60,train,607,0.028227039700075687,0.8698517298187809,18.812191103789125,0.7265238879736409,15.004652857470832,-0.0067700379345898365,0.7604612850082373,22.334266886326194,-3.031233560988154,0.03499707763466553,0.027457443559561118,0.041496823837966754,18.035886418458986,2.6592856503941977
per-day 0.5% / time 60,perday,60,test,504,0.01687598222451652,0.8234126984126984,19.38293650793651,0.7242063492063492,8.706617914992657,-0.01100707641844643,0.7329365079365079,23.690277777777776,-4.646242024553807,0.027883058642962946,0.01868529391704564,0.03726118731563288,13.352859939546464,1.7759730783871768
per-day 0.5% / time 60,perday,60,all,1111,0.023077685093701412,0.8487848784878488,19.071107110711072,0.7254725472547254,12.100862818152855,-0.008692150802153941,0.7479747974797479,22.94941494149415,-3.787526097860527,0.03176983589585536,0.026263102548472767,0.03736326774531996,15.888388916013382,2.2044535504133336
hybrid 2% day 1 then 6% / time 7,hybrid,7,train,607,-0.003952954224664499,0.729818780889621,3.7495881383855023,0.5930807248764415,-10.542369131684318,-0.002012166070628941,0.6039538714991762,5.151894563426689,-3.9056817756196187,-0.00194078815403556,-0.009754945949270464,0.004373566741563318,-6.636687356064699,0.8291619187230587
hybrid 2% day 1 then 6% / time 7,hybrid,7,test,513,0.002084633727215564,0.6978557504873294,3.879142300194932,0.5692007797270955,5.37395528674163,-0.003596593675655289,0.5668615984405458,5.3578947368421055,-6.712699394641502,0.005681227402870853,0.0006213931733858526,0.009711602629001868,12.086654681383132,1.1275708009785481
hybrid 2% day 1 then 6% / time 7,hybrid,7,all,1120,-0.0011875233145622922,0.7151785714285714,3.8089285714285714,0.5821428571428572,-3.1177358469521033,-0.002737890500431188,0.5869642857142857,5.24625,-5.218757208351085,0.0015503671858688951,-0.0025980083580318474,0.005759678415700761,2.1010213613989817,0.9406981230010244
hybrid 2% day 1 then 6% / time 10,hybrid,10,train,607,0.0005286274265591464,0.7512355848434926,4.894563426688633,0.6326194398682042,1.080029780953894,-0.002614554163565768,0.6202635914332785,6.940362438220758,-3.767172372969097,0.0031431815901249134,-0.004662686449052882,0.009397891530669321,4.847202153922991,1.0250440912290215
