group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
Head and Shoulders,1,,,173,0.0006244852008151159,0.4624277456647399,0.38975347608682714,-0.0008994035313921863,0.4745664739884393,0.0015238887322073023,-0.001896139638187032,0.004786830573728436,0.17,1.0909816324717487,,,1.0
Inverse Head and Shoulders,1,,,128,-0.0011210836823607444,0.46875,0.38447328031492234,-0.00033095980279037874,0.51171875,-0.0007901238795703655,-0.0042745910260041575,0.002738887302966094,0.702,0.8549900046481752,,,1.0
Inverted Cup and Handle,1,,,52,0.0009166704635999915,0.5,0.3688563855796992,5.212238054670223e-05,0.49230769230769234,0.0008645480830532901,-0.00494999164173613,0.007716340011961166,0.318,1.1247953087131937,,,1.0
Rectangle,1,,,81,-0.0017679630112525367,0.4691358024691358,0.3643319191569785,-4.379614036412642e-05,0.49506172839506174,-0.0017241668708884103,-0.005781446048077624,0.0020715191626822413,0.814,0.7524123949520723,,,1.0
Rising Wedge,1,,,489,-0.0005448046617126896,0.49897750511247446,0.45484149435000737,-0.0008256717992505949,0.46175869120654395,0.00028086713753790556,-0.0011679205968256662,0.0017292054406967722,0.374,0.9154385752578365,,,1.0
Symmetrical Triangle,1,,,360,0.0004906206025468346,0.5083333333333333,0.45687527020572577,-0.0009395648830397574,0.4672222222222222,0.0014301854855865925,-0.0003264937667505342,0.003148116799459186,0.034,1.0886717997170405,,,1.0
Ascending Triangle,1,,0.02,244,-6.820956532855682e-05,0.46311475409836067,0.40160352162097335,-0.00042912191758589905,0.47950819672131145,0.00036091235225734294,-0.0016896641200640564,0.0022294336727507248,0.33,0.987904506415444,,0.1557377049180328,1.0
Bear Flag,1,,0.02,461,-0.001310051541796146,0.4403470715835141,0.3957078696506235,-0.0008398256655520556,0.4436008676789588,-0.00047022587624409026,-0.002206909520735009,0.0013709156622384057,0.712,0.8417415327268414,,0.3188720173535792,1.0
Bull Flag,1,,0.02,657,0.0006160726206773569,0.4916286149162861,0.4535604416642909,-5.084298014120683e-05,0.4648401826484018,0.000666915600818564,-0.0007430768142061036,0.0020860257001077353,0.18,1.094793340669995,,0.2176560121765601,1.0
Cup and Handle,1,,0.02,88,0.0010227177395620544,0.5454545454545454,0.44169880685506685,-0.0001296290334734673,0.5056818181818182,0.0011523467730355222,-0.0017813077948942557,0.004257042081769235,0.188,1.2245759021748635,,0.10227272727272728,1.0
Descending Triangle,1,,0.02,154,-0.0014544885037959102,0.44155844155844154,0.3654986929618521,-0.0007342445128464155,0.4590909090909091,-0.000720243990949495,-0.003338800215289416,0.002375778833234017,0.712,0.8099025121405715,,0.23376623376623376,1.0
