group,n,hit,stop,mean_ret,days,per_day_bp,bh_per_day_bp,edge_bp,ann,dim,tp,sl,period
Energy,4759.0,0.8344189955873083,0.16558100441269175,-1.565101454868717e-05,2.2927085522168524,-0.06826430046485403,1.0986157557596958,-1.16688005622455,-0.001718787433482527,sector,0.01,0.05,
Financials,17355.0,0.8366464995678479,0.16277729760875828,0.0001383383571012522,3.2439642754249496,0.4264484604508484,0.48261333477461976,-0.05616487432377137,0.010804220641139839,sector,0.01,0.05,
Health Care,13283.0,0.836558006474441,0.1633667093277121,-9.359128622396442e-06,3.135285703530829,-0.029850959393769375,2.3169572106583565,-2.346808170052126,-0.0007519624339094033,sector,0.01,0.05,
Industrials,18167.0,0.8400946771618869,0.15985027797655088,0.0004215804800217583,3.2446193647822974,1.2993218390966637,2.8443894290716027,-1.5450675899749389,0.0332826604543095,sector,0.01,0.05,
Information Technology,16249.0,0.8242968798079882,0.17558003569450428,-0.0007506942087916148,2.5327712474613824,-2.963924237311372,1.95841412507037,-4.922338362381742,-0.07197996953397023,sector,0.01,0.05,
Materials,5682.0,0.8326293558606125,0.16737064413938754,0.0004199024699514491,3.0989088349172826,1.3550010417220204,3.321172003675407,-1.9661709619533865,0.03473330073765979,sector,0.01,0.05,
Real Estate,6916.0,0.8360323886639676,0.16353383458646617,2.671461506404832e-06,3.4433198380566803,0.007758389089735373,0.6477631930851856,-0.6400048039954501,0.00019553044278453058,sector,0.01,0.05,
Utilities,7045.0,0.8574875798438609,0.14066713981547196,0.0011637773946276831,4.207948899929027,2.7656642756458183,3.1868699291584606,-0.4212056535126421,0.07217050579086592,sector,0.01,0.05,
test,46454.0,0.8399707237266973,0.15934042278382918,0.0004314126941136015,3.0786154044861584,1.4013205205331816,2.908930865412816,-1.5076103448796345,0.035941632627532805,period,0.01,0.05,
train,68990.0,0.8330772575735614,0.16692274242643862,-0.0001111076300515563,3.1625163067111175,-0.35132666293538733,2.007135481189412,-2.3584621441247995,-0.008814509837405171,period,0.01,0.05,
ALL,115444.0,0.8358511486088493,0.1638716607186168,0.00010719942045577404,3.128755067391982,0.3426264381415181,2.3641974782196287,-2.0215710400781104,0.00867141914346048,all,0.01,0.05,
